coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
891689,http://db.herbarium.arizona.edu/images/ARIZ/377/ariz377920_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/377/ariz377920_lg.jpg,,,,University of Arizona Herbarium (ARIZ),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d25f398b-a9ec-4151-94f0-8e2b022a9366,2019-12-20 19:11:30,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=891689,StillImage,Photograph,en
943912,http://db.herbarium.arizona.edu/images/ARIZ/385/ariz385565_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/385/ariz385565_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/385/ariz385565_tn.jpg,http://db.herbarium.arizona.edu/images/ARIZ/385/ariz385565.jpg,,University of Arizona Herbarium (ARIZ),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6ab864e1-4092-445c-a9f7-d36f85fcc057,2014-12-23 15:15:40,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=943912,StillImage,Photograph,en
943912,http://db.herbarium.arizona.edu/images/ARIZ/385/ariz385565_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/385/ariz385565_lg.jpg,,,,University of Arizona Herbarium (ARIZ),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:20055d5c-cbb7-44dd-b968-81fd21ce423d,2019-12-20 19:11:30,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=943912,StillImage,Photograph,en
943913,http://db.herbarium.arizona.edu/images/ARIZ/388/ariz388918_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/388/ariz388918_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/388/ariz388918_tn.jpg,http://db.herbarium.arizona.edu/images/ARIZ/388/ariz388918.jpg,,University of Arizona Herbarium (ARIZ),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5efa4889-9c22-4572-b883-dd89cb3d320d,2014-12-23 15:15:40,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=943913,StillImage,Photograph,en
943913,http://db.herbarium.arizona.edu/images/ARIZ/388/ariz388918_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/388/ariz388918_lg.jpg,,,,University of Arizona Herbarium (ARIZ),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3b8ca465-6a3c-4b09-92d7-c4db705783c1,2019-12-20 19:11:30,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=943913,StillImage,Photograph,en
662784,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201509/ASU0089254_1442440744_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201509/ASU0089254_1442440744_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/misc/201509/ASU0089254_1442440744_1443118734_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201509/ASU0089254_1442440744.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:64fcb1bb-8672-494f-afce-a2b46f500fe6,2015-09-16 17:59:04,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=662784,StillImage,Photograph,en
657962,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/STTH_06999_M.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/STTH_06999_M.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/STTH_06999_M_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/STTH_06999_M.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5bafdf24-6ebb-4ba7-9aa7-2b53315eb326,2009-11-22 13:44:03,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=657962,StillImage,Photograph,en
724124,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051672.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051672.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051672_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051672.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:32d0c1a5-db22-4cad-ab8b-9e7c2e6006ba,2011-11-09 23:57:45,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=724124,StillImage,Photograph,en
724125,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051674.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051674.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051674_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051674.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:101ddafc-32c3-4727-818b-5d418e307d8b,2011-11-09 23:57:45,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=724125,StillImage,Photograph,en
724126,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051671.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051671.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051671_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051671.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a88167fe-ec23-405d-8875-1af01f25a460,2011-11-09 23:57:45,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=724126,StillImage,Photograph,en
